Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1001 search by Keyword,Chrome 108.0.0.0,,,2565-12-16 12:26:45,2565-12-16 12:27:14,28.320s,PASSED
,,,,,,,
Test Cases/TC 1001 Search By Keyword,Chrome 108.0.0.0,,,2565-12-16 12:26:46,2565-12-16 12:26:56,10.061s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:26:46,2565-12-16 12:26:48,2.153s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:26:48,2565-12-16 12:26:49,1.308s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""KRU"")",Chrome 108.0.0.0,,,2565-12-16 12:26:49,2565-12-16 12:26:50,0.886s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:26:50,2565-12-16 12:26:54,3.796s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏกาญจนบุรี"", false)",Chrome 108.0.0.0,,,2565-12-16 12:26:54,2565-12-16 12:26:55,0.780s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:26:55,2565-12-16 12:26:56,0.717s,PASSED
,,,,,,,
Test Cases/TC 1002 Search By Keyword,Chrome 108.0.0.0,,,2565-12-16 12:26:56,2565-12-16 12:27:04,8.473s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:26:56,2565-12-16 12:26:57,1.166s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:26:57,2565-12-16 12:26:59,1.480s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""NPRU"")",Chrome 108.0.0.0,,,2565-12-16 12:26:59,2565-12-16 12:26:59,0.668s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:26:59,2565-12-16 12:27:03,3.469s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:27:03,2565-12-16 12:27:03,0.723s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:27:03,2565-12-16 12:27:04,0.675s,PASSED
,,,,,,,
Test Cases/TC 1003 Search By Keyword,Chrome 108.0.0.0,,,2565-12-16 12:27:04,2565-12-16 12:27:14,9.485s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2565-12-16 12:27:04,2565-12-16 12:27:06,1.145s,PASSED
"navigateToUrl(""https://www.google.com"")",Chrome 108.0.0.0,,,2565-12-16 12:27:06,2565-12-16 12:27:07,1.699s,PASSED
"setText(findTestObject(""Page_Google/input__q""), ""CRU"")",Chrome 108.0.0.0,,,2565-12-16 12:27:07,2565-12-16 12:27:08,0.868s,PASSED
"click(findTestObject(""Page_Google/input__btnK""))",Chrome 108.0.0.0,,,2565-12-16 12:27:08,2565-12-16 12:27:12,3.698s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏจันทรเกษม"", false)",Chrome 108.0.0.0,,,2565-12-16 12:27:12,2565-12-16 12:27:13,1.030s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2565-12-16 12:27:13,2565-12-16 12:27:14,0.733s,PASSED
